,attribute,frequency
0,Organism,38120
1,synonym,37740
2,host subject id,28843
3,description,28557
4,title,27754
5,env biome,27708
6,env feature,27708
7,anonymized name,27430
8,longitude,27316
9,latitude,27316
10,elevation,26983
11,host taxid,26917
12,colection date,26387
13,host common name,25504
14,body site,25478
15,body product,25394
16,body habitat,25377
17,sample type,24841
18,Sex,24772
19,physical specimen location,24037
20,public,23972
21,physical specimen remaining,23659
22,dna extracted,23576
23,collection timestamp,22414
24,country,20049
25,bmi,18024
26,assigned from geo,17562
27,subset ibd,16344
28,subset healthy,16344
29,subset diabetes,16344
30,subset age,16344
31,subset bmi,16344
32,subset antibiotic history,16344
33,state,16091
34,csection,15883
35,chickenpox,15882
36,diabetes,15828
37,has physical specimen,15683
38,ibd,15668
39,height units,15643
40,weight units,15643
41,weight kg,15633
42,env package,15385
43,env material,15361
44,non food allergies pet dander,15182
45,non food allergies unspecified,15182
46,collection season,15182
47,alcohol types beercider,15182
48,alcohol types red wine,15182
49,alcohol types sour beers,15182
50,alcohol types spiritshard alcohol,15182
51,alcohol types unspecified,15182
52,alcohol types white wine,15182
53,allergic to other,15182
54,allergic to unspecified,15182
55,allergic to i have no food allergies that i know of,15182
56,allergic to peanuts,15182
57,survey id,15182
58,non food allergies sun,15182
59,non food allergies beestings,15182
60,allergic to shellfish,15182
61,non food allergies poison ivyoak,15182
62,allergic to tree nuts,15182
63,non food allergies drug eg penicillin,15182
64,collection time,15175
65,collection month,15148
66,diet type,15127
67,race,15112
68,country of birth,15090
69,drinking water source,15081
70,sleep duration,15081
71,exercise frequency,15073
72,smoking frequency,15073
73,alcohol consumption,15063
74,alcohol frequency,15063
75,dog,15053
76,flossing frequency,15052
77,multivitamin,15051
78,deodorant use,15051
79,pool frequency,15051
80,teethbrushing frequency,15049
81,height cm,15047
82,cosmetics frequency,15039
83,other supplement frequency,15035
84,birth year,15033
85,antibiotic history,15031
86,cat,15028
87,flu vaccine date,15019
88,livingwith,15016
89,acne medication otc,15010
90,appendix removed,15007
91,dominant hand,15006
92,weight change,15004
93,age years,14989
94,acne medication,14988
95,tonsils removed,14982
96,nail biter,14976
97,softener,14960
98,lactose,14960
99,exercise location,14951
100,last travel,14944
101,pku,14936
102,seasonal allergies,14934
103,age cat,14876
104,bmi cat,14849
105,age corrected,14843
106,common name,14816
107,env matter,14816
108,lung disease,14787
109,migraine,14708
110,skin condition,14568
111,gluten,14458
112,altitude,14316
113,depth,14208
114,pregnant,14091
115,contraceptive,13734
116,economic region,13458
117,census region,13458
118,geo loc name,13313
119,last move,12765
120,consume animal products abx,12761
121,types of plants,12756
122,sugary sweets frequency,12755
123,prepared meals frequency,12753
124,cardiovascular disease,12752
125,alzheimers,12752
126,poultry frequency,12751
127,probiotic frequency,12744
128,epilepsy or seizure disorder,12744
129,salted snacks frequency,12743
130,meat eggs frequency,12743
131,asd,12739
132,fed as infant,12738
133,whole eggs,12738
134,frozen dessert frequency,12737
135,milk cheese frequency,12736
136,ready to eat meals frequency,12735
137,milk substitute frequency,12735
138,vitamin b supplement frequency,12734
139,liver disease,12734
140,vitamin d supplement frequency,12733
141,seafood frequency,12733
142,vegetable frequency,12733
143,sugar sweetened drink frequency,12732
144,red meat frequency,12732
145,homecooked meals frequency,12731
146,olive oil,12731
147,thyroid,12731
148,kidney disease,12730
149,add adhd,12725
150,fruit frequency,12723
